
Active Connections

  Proto  Local Address          Foreign Address        State           PID
  TCP    127.0.0.1:49377        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49378        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49380        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49381        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49382        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49383        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49386        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49387        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49388        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49390        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49391        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49392        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49394        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49395        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49396        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49397        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49398        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49399        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49400        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49402        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49403        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49405        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49406        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49407        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49668        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49669        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49671        127.0.0.1:5354         ESTABLISHED     5476
  TCP    127.0.0.1:49672        0.0.0.0:0              LISTENING       5852
  TCP    127.0.0.1:49673        127.0.0.1:5354         ESTABLISHED     5476
  TCP    127.0.0.1:49675        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49676        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49677        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49678        127.0.0.1:49679        ESTABLISHED     4312
  TCP    127.0.0.1:49679        127.0.0.1:49678        ESTABLISHED     4312
  TCP    127.0.0.1:49680        127.0.0.1:49681        ESTABLISHED     4784
  TCP    127.0.0.1:49681        127.0.0.1:49680        ESTABLISHED     4784
  TCP    127.0.0.1:49683        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49688        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49689        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49693        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49694        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49695        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49696        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49697        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49698        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49699        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49700        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49701        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49704        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49707        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49709        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49710        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49711        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49712        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49713        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49714        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49715        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49719        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49720        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49721        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49722        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49724        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49725        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49726        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49727        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49728        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49729        127.0.0.1:49730        ESTABLISHED     5812
  TCP    127.0.0.1:49730        127.0.0.1:49729        ESTABLISHED     5812
  TCP    127.0.0.1:49732        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49733        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49734        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49735        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49736        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49737        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49739        127.0.0.1:6467         SYN_SENT        8596
  TCP    127.0.0.1:49740        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49741        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49742        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49743        127.0.0.1:49350        TIME_WAIT       0
  TCP    127.0.0.1:49744        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49745        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49746        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49747        127.0.0.1:49350        FIN_WAIT_2      22584
  TCP    127.0.0.1:49748        127.0.0.1:49350        FIN_WAIT_2      22584
